,epsilon,a3,Barrier,Sh.Cor,Eldm,dU(N),dU(P),dP(N),dP(P),BC,BS
10088,0.89,0.178,-6.5013,,,,,,,,
9524,0.8400000000000001,0.06,8.6231,,,,,,,,
9822,0.87,0.05,0.3311,,,,,,,,
9747,0.86,0.10200000000000001,7.4937,,,,,,,,
9998,0.88,0.2,3.1036,,,,,,,,
9704,0.86,0.016,2.0409,,,,,,,,
2630,0.16,0.008,17.5286,,,,,,,,
4169,0.31000000000000005,0.056,11.9901,,,,,,,,
4574,0.35,0.058,10.881,,,,,,,,
10079,0.89,0.16,-7.3625,,,,,,,,
4271,0.31999999999999995,0.058,11.6793,,,,,,,,
10003,0.89,0.008,-16.8877,,,,,,,,
10102,0.9,0.004,-21.4871,,,,,,,,
9608,0.8500000000000001,0.026000000000000002,5.2965,,,,,,,,
10096,0.89,0.194,-5.6208,,,,,,,,
10192,0.9,0.184,-12.1903,,,,,,,,
10038,0.89,0.078,-13.1844,,,,,,,,
9914,0.88,0.032,-7.0255,,,,,,,,
9726,0.86,0.06,3.4886,,,,,,,,
9611,0.8500000000000001,0.032,4.817,,,,,,,,
9496,0.8400000000000001,0.004,7.0138,,,,,,,,
9625,0.8500000000000001,0.06,6.3401,,,,,,,,
9905,0.88,0.014,-7.5092,,,,,,,,
9992,0.88,0.188,2.5509,,,,,,,,
9807,0.87,0.02,-1.3983,,,,,,,,
10027,0.89,0.056,-14.1664,,,,,,,,
9920,0.88,0.044,-5.854,,,,,,,,
10033,0.89,0.068,-13.3429,,,,,,,,
10099,0.89,0.2,-6.2587,,,,,,,,
9909,0.88,0.022,-7.133,,,,,,,,
10034,0.89,0.07,-13.275,,,,,,,,
9996,0.88,0.196,2.8516,,,,,,,,
9990,0.88,0.184,2.1985,,,,,,,,
10265,0.567,0.089,16.7519,1.053,15.699,0.896,0.751,-0.463,-0.13,0.941,1.12
9666,0.8500000000000001,0.14200000000000002,12.6632,,,,,,,,
9855,0.87,0.116,5.0538,,,,,,,,
2131,0.10999999999999999,0.02,15.6064,,,,,,,,
10046,0.89,0.094,-12.2067,,,,,,,,
9969,0.88,0.14200000000000002,1.2274,,,,,,,,
9941,0.88,0.08600000000000001,-2.044,,,,,,,,
10264,0.567,0.067,16.1103,0.9152,15.195,1.337,0.556,-0.665,-0.313,0.941,1.119
