,epsilon,a3,Barrier,Sh.Cor,Eldm,dU(N),dU(P),dP(N),dP(P),BC,BS
9967,0.88,0.138,3.9602,,,,,,,,
10185,0.9,0.17,-7.5719,,,,,,,,
10068,0.89,0.138,-4.1494,,,,,,,,
9942,0.88,0.088,-0.1562,,,,,,,,
9970,0.88,0.14400000000000002,4.1403,,,,,,,,
3163,0.21,0.064,19.042,,,,,,,,
9758,0.86,0.124,12.4662,,,,,,,,
9994,0.88,0.192,5.9433,,,,,,,,
9914,0.88,0.032,-5.9236,,,,,,,,
10030,0.89,0.062,-14.2616,,,,,,,,
10152,0.9,0.10400000000000001,-13.9126,,,,,,,,
9498,0.8400000000000001,0.008,3.8179,,,,,,,,
3260,0.22,0.056,18.7525,,,,,,,,
10082,0.89,0.166,-3.5228,,,,,,,,
9911,0.88,0.026000000000000002,-6.0778,,,,,,,,
9951,0.88,0.106,1.8784,,,,,,,,
10147,0.9,0.094,-16.0667,,,,,,,,
10037,0.89,0.076,-12.5673,,,,,,,,
10195,0.9,0.19,-7.2049,,,,,,,,
9978,0.88,0.16,5.2317,,,,,,,,
10027,0.89,0.056,-14.2996,,,,,,,,
10047,0.89,0.096,-8.8825,,,,,,,,
10090,0.89,0.182,-3.0049,,,,,,,,
9992,0.88,0.188,5.4389,,,,,,,,
9916,0.88,0.036000000000000004,-5.8326,,,,,,,,
10199,0.9,0.198,-7.3044,,,,,,,,
9896,0.87,0.198,10.7488,,,,,,,,
10040,0.89,0.082,-11.831,,,,,,,,
10043,0.89,0.088,-11.1332,,,,,,,,
4948,0.38,0.2,22.5115,,,,,,,,
10026,0.89,0.054,-14.4618,,,,,,,,
9657,0.8500000000000001,0.124,15.9323,,,,,,,,
10109,0.9,0.018000000000000002,-21.3239,,,,,,,,
9775,0.86,0.158,13.3992,,,,,,,,
9292,0.8200000000000001,0.0,8.6381,,,,,,,,
9652,0.8500000000000001,0.114,15.2394,,,,,,,,
10062,0.89,0.126,-6.1031,,,,,,,,
9780,0.86,0.168,13.454,,,,,,,,
9998,0.88,0.2,6.1594,,,,,,,,
10091,0.89,0.184,-2.9602,,,,,,,,
10019,0.89,0.04,-15.2214,,,,,,,,
10099,0.89,0.2,-2.5895,,,,,,,,
10000,0.89,0.002,-15.8113,,,,,,,,
10100,0.9,0.0,-21.4792,,,,,,,,
10003,0.89,0.008,-16.3918,,,,,,,,
10009,0.89,0.02,-15.7071,,,,,,,,
10011,0.89,0.024,-15.6871,,,,,,,,
10048,0.89,0.098,-8.6927,,,,,,,,
10045,0.89,0.092,-9.7885,,,,,,,,
4211,0.31000000000000005,0.14,18.4245,,,,,,,,
9672,0.8500000000000001,0.154,15.8573,,,,,,,,
9886,0.87,0.178,10.3659,,,,,,,,
10067,0.89,0.136,-4.3141,,,,,,,,
5136,0.4,0.17200000000000001,22.3583,,,,,,,,
9676,0.8500000000000001,0.162,16.114,,,,,,,,
9836,0.87,0.078,4.0197,,,,,,,,
4108,0.30000000000000004,0.136,18.1849,,,,,,,,
9917,0.88,0.038,-6.6228,,,,,,,,
9919,0.88,0.042,-6.4154,,,,,,,,
9913,0.88,0.03,-5.9802,,,,,,,,
10108,0.9,0.016,-21.3337,,,,,,,,
10088,0.89,0.178,-3.0926,,,,,,,,
9904,0.88,0.012,-6.4331,,,,,,,,
9797,0.87,0.0,-1.4773,,,,,,,,
9926,0.88,0.056,-4.7382,,,,,,,,
9993,0.88,0.19,5.4767,,,,,,,,
10094,0.89,0.19,-2.9253,,,,,,,,
9991,0.88,0.186,5.4046,,,,,,,,
9976,0.88,0.156,5.2596,,,,,,,,
9982,0.88,0.168,5.2142,,,,,,,,
9995,0.88,0.194,5.9912,,,,,,,,
9996,0.88,0.196,6.043,,,,,,,,
9902,0.88,0.008,-6.4885,,,,,,,,
8686,0.76,0.0,16.2163,,,,,,,,
10001,0.89,0.004,-16.4844,,,,,,,,
10093,0.89,0.188,-2.9744,,,,,,,,
10267,0.567,0.133,19.2522,2.1424,17.11,0.519,1.907,-0.187,-0.097,0.939,1.125
10247,0.344,0.133,18.1381,2.822,15.316,1.392,1.858,-0.188,-0.24,0.975,1.064
10276,0.678,0.111,15.0431,-0.9228,15.966,-1.404,-0.029,0.141,0.37,0.909,1.171
10237,0.233,0.133,18.32,3.9241,14.396,2.832,2.762,-0.94,-0.73,0.985,1.048
10283,0.789,0.044,11.3536,-0.4207,11.774,0.152,-1.387,0.389,0.425,0.866,1.234
10219,0.011,0.178,19.9589,2.9621,16.997,2.315,0.644,-0.443,0.447,0.99,1.044
10272,0.678,0.022,18.4073,4.1821,14.225,3.301,2.521,-0.674,-0.966,0.91,1.166
10280,0.678,0.2,19.6346,-0.1209,19.755,-0.419,0.265,-0.011,0.043,0.907,1.181
10268,0.567,0.155,20.4495,2.4442,18.005,0.342,2.34,0.051,-0.289,0.938,1.128
10215,0.011,0.089,15.6773,3.3674,12.31,1.638,1.975,0.121,-0.367,0.994,1.03
10279,0.678,0.178,18.1837,-0.4592,18.643,-0.542,0.467,-0.418,0.033,0.907,1.178
10271,0.678,0.0,19.1135,4.9622,14.151,5.307,2.342,-2.107,-0.58,0.91,1.166
10275,0.678,0.089,14.6011,-0.7198,15.321,-0.812,-0.245,-0.044,0.38,0.91,1.169
10258,0.456,0.155,22.5605,5.2436,17.317,2.574,3.65,-0.039,-0.941,0.96,1.093
10252,0.456,0.022,10.3892,-3.3965,13.786,-2.491,-2.347,0.776,0.666,0.964,1.08
10226,0.122,0.111,16.9813,4.0115,12.97,2.696,2.133,-0.58,-0.238,0.991,1.035
10223,0.122,0.044,18.2844,7.2417,11.043,5.342,4.743,-1.656,-1.187,0.993,1.029
10287,0.789,0.133,14.7606,0.582,14.179,-2.119,2.538,0.609,-0.446,0.866,1.237
10259,0.456,0.178,23.5903,5.2143,18.376,2.673,3.949,-0.242,-1.165,0.959,1.096
10241,0.344,0.0,8.4075,-4.0692,12.477,-1.953,-2.954,0.006,0.831,0.979,1.055
10254,0.456,0.067,14.035,-0.3545,14.39,-0.233,-1.008,0.203,0.684,0.963,1.083
10278,0.678,0.155,17.0004,-0.6336,17.634,-1.156,0.919,-0.173,-0.223,0.908,1.175
8759,0.76,0.146,14.734,,,,,,,,
8519,0.74,0.07,14.2833,,,,,,,,
9285,0.81,0.188,17.2554,,,,,,,,
10034,0.89,0.07,-13.3142,,,,,,,,
10085,0.89,0.17200000000000001,-3.4387,,,,,,,,
9328,0.8200000000000001,0.07200000000000001,9.9371,,,,,,,,
9220,0.81,0.058,10.1288,,,,,,,,
9744,0.86,0.096,9.6241,,,,,,,,
4387,0.32999999999999996,0.088,13.651,,,,,,,,
1619,0.06,0.006,15.5801,,,,,,,,
3179,0.21,0.096,18.5803,,,,,,,,
10177,0.9,0.154,-7.9302,,,,,,,,
346,-0.07,0.08600000000000001,17.9081,,,,,,,,
242,-0.08,0.08,17.7843,,,,,,,,
2854,0.18000000000000002,0.052000000000000005,19.5529,,,,,,,,
5651,0.45000000000000007,0.192,23.9082,,,,,,,,
1751,0.07,0.068,15.9963,,,,,,,,
5349,0.42000000000000004,0.194,23.4445,,,,,,,,
726,-0.03,0.038,15.7412,,,,,,,,
9146,0.8,0.112,13.7398,,,,,,,,
8895,0.78,0.014,14.4266,,,,,,,,
5528,0.44000000000000006,0.148,21.9396,,,,,,,,
1358,0.03,0.09,15.5677,,,,,,,,
6264,0.52,0.004,13.3718,,,,,,,,
9506,0.8400000000000001,0.024,3.8667,,,,,,,,
9891,0.87,0.188,10.5227,,,,,,,,
1394,0.03,0.162,18.511,,,,,,,,
9922,0.88,0.048,-6.0238,,,,,,,,
9791,0.86,0.19,14.4652,,,,,,,,
9997,0.88,0.198,6.0991,,,,,,,,
10010,0.89,0.022,-15.6989,,,,,,,,
9971,0.88,0.146,4.1908,,,,,,,,
8787,0.77,0.0,15.1104,,,,,,,,
9501,0.8400000000000001,0.014,3.8047,,,,,,,,
10074,0.89,0.15,-3.8476,,,,,,,,
9943,0.88,0.09,0.0741,,,,,,,,
9785,0.86,0.178,14.4898,,,,,,,,
3754,0.27,0.034,14.4367,,,,,,,,
9923,0.88,0.05,-5.8706,,,,,,,,
9907,0.88,0.018000000000000002,-6.3587,,,,,,,,
9649,0.8500000000000001,0.108,14.1488,,,,,,,,
9960,0.88,0.124,3.4006,,,,,,,,
10096,0.89,0.194,-2.8223,,,,,,,,
9959,0.88,0.122,3.2617,,,,,,,,
10184,0.9,0.168,-7.6124,,,,,,,,
9928,0.88,0.06,-4.2586,,,,,,,,
10022,0.89,0.046,-14.9734,,,,,,,,
9954,0.88,0.112,2.4484,,,,,,,,
10149,0.9,0.098,-15.2935,,,,,,,,
10125,0.9,0.05,-20.0333,,,,,,,,
9980,0.88,0.164,5.2201,,,,,,,,
9962,0.88,0.128,3.5146,,,,,,,,
9920,0.88,0.044,-6.2959,,,,,,,,
9921,0.88,0.046,-6.1654,,,,,,,,
10084,0.89,0.17,-3.4702,,,,,,,,
10058,0.89,0.11800000000000001,-6.7409,,,,,,,,
9897,0.87,0.2,10.8044,,,,,,,,
10200,0.9,0.2,-7.2675,,,,,,,,
9759,0.86,0.126,12.5865,,,,,,,,
9853,0.87,0.112,7.9675,,,,,,,,
9883,0.87,0.17200000000000001,10.2848,,,,,,,,
9198,0.81,0.014,10.8957,,,,,,,,
10065,0.89,0.132,-5.6749,,,,,,,,
9868,0.87,0.14200000000000002,9.5929,,,,,,,,
10101,0.9,0.002,-21.4816,,,,,,,,
10002,0.89,0.006,-16.4407,,,,,,,,
10044,0.89,0.09,-10.9101,,,,,,,,
10018,0.89,0.038,-15.2253,,,,,,,,
10042,0.89,0.08600000000000001,-11.3618,,,,,,,,
9800,0.87,0.006,-1.6924,,,,,,,,
9947,0.88,0.098,1.0284,,,,,,,,
9776,0.86,0.16,13.4434,,,,,,,,
9900,0.88,0.004,-6.5202,,,,,,,,
10081,0.89,0.164,-3.5448,,,,,,,,
10016,0.89,0.034,-15.3245,,,,,,,,
9927,0.88,0.058,-4.5013,,,,,,,,
9977,0.88,0.158,5.253,,,,,,,,
4908,0.38,0.12,17.6974,,,,,,,,
9986,0.88,0.176,5.2233,,,,,,,,
9901,0.88,0.006,-6.5071,,,,,,,,
10295,0.9,0.089,-16.6158,0.2385,-16.854,0.924,-1.356,-0.268,0.937,0.809,1.276
10246,0.344,0.111,15.9086,1.447,14.462,0.402,1.034,0.115,-0.104,0.976,1.061
10209,-0.1,0.178,23.145,4.4412,18.704,3.112,2.835,-0.592,-0.913,0.989,1.048
10292,0.9,0.022,-21.2253,-2.4793,-18.746,-3.555,-0.042,0.792,0.326,0.808,1.276
10235,0.233,0.089,18.0644,5.3439,12.72,3.507,3.601,-0.887,-0.878,0.987,1.042
10244,0.344,0.067,11.492,-1.7086,13.201,-1.354,-1.04,0.38,0.305,0.978,1.057
10211,0.011,0.0,14.5727,3.8783,10.694,1.843,2.312,0.107,-0.383,0.995,1.025
10213,0.011,0.044,14.8058,3.7051,11.101,1.733,2.183,0.141,-0.351,0.995,1.026
10289,0.789,0.178,17.4776,1.3361,16.141,-0.875,2.142,0.347,-0.277,0.866,1.24
10281,0.789,0.0,14.3494,2.888,11.461,5.792,-0.727,-2.439,0.261,0.866,1.233
10205,-0.1,0.089,17.9421,4.4799,13.462,2.42,3.434,-0.178,-1.196,0.993,1.033
10264,0.567,0.067,16.1103,0.9152,15.195,1.337,0.556,-0.665,-0.313,0.941,1.119
10257,0.456,0.133,21.0811,4.6989,16.382,2.396,3.301,-0.049,-0.948,0.961,1.089
10041,0.89,0.084,-11.5951,,,,,,,,
9858,0.87,0.122,8.8526,,,,,,,,
7577,0.65,0.004,18.7225,,,,,,,,
9844,0.87,0.094,6.2134,,,,,,,,
5898,0.48,0.08,16.2624,,,,,,,,
9217,0.81,0.052000000000000005,10.062,,,,,,,,
9524,0.8400000000000001,0.06,7.1004,,,,,,,,
9984,0.88,0.17200000000000001,5.2155,,,,,,,,
4782,0.37,0.07,11.7678,,,,,,,,
2931,0.18999999999999997,0.004,20.1466,,,,,,,,
8770,0.76,0.168,16.029,,,,,,,,
3333,0.23,0.0,18.2426,,,,,,,,
3855,0.28,0.034,13.4381,,,,,,,,
2048,0.1,0.056,17.2225,,,,,,,,
9798,0.87,0.002,-2.1878,,,,,,,,
9205,0.81,0.028,10.6007,,,,,,,,
9903,0.88,0.01,-6.4641,,,,,,,,
10005,0.89,0.012,-15.718,,,,,,,,
10102,0.9,0.004,-21.4899,,,,,,,,
9794,0.86,0.196,14.209,,,,,,,,
5134,0.4,0.168,22.1863,,,,,,,,
9915,0.88,0.034,-5.8821,,,,,,,,
10098,0.89,0.198,-2.6515,,,,,,,,
10204,-0.1,0.067,17.0953,4.4169,12.678,2.4,3.114,-0.174,-0.923,0.994,1.031
10239,0.233,0.178,18.8724,2.1948,16.678,1.708,1.548,-0.788,-0.274,0.983,1.055
9811,0.87,0.028,-2.3997,,,,,,,,
2729,0.17,0.004,20.1061,,,,,,,,
9655,0.8500000000000001,0.12,15.6946,,,,,,,,
8022,0.6900000000000001,0.08600000000000001,14.6537,,,,,,,,
5524,0.44000000000000006,0.14,21.3903,,,,,,,,
10154,0.9,0.108,-13.0437,,,,,,,,
10143,0.9,0.08600000000000001,-16.4112,,,,,,,,
10089,0.89,0.18,-3.0491,,,,,,,,
9989,0.88,0.182,5.5128,,,,,,,,
9905,0.88,0.014,-6.3972,,,,,,,,
9799,0.87,0.004,-2.1973,,,,,,,,
10095,0.89,0.192,-2.7675,,,,,,,,
8788,0.77,0.002,15.1038,,,,,,,,
10206,-0.1,0.111,18.9961,4.5322,14.464,2.573,3.532,-0.285,-1.287,0.992,1.036
10299,0.9,0.178,-7.3794,3.9378,-11.317,1.197,3.964,-0.596,-0.627,0.814,1.278
9513,0.8400000000000001,0.038,5.0279,,,,,,,,
9095,0.8,0.01,12.5703,,,,,,,,
9511,0.8400000000000001,0.034,4.9608,,,,,,,,
10187,0.9,0.17400000000000002,-7.4929,,,,,,,,
9306,0.8200000000000001,0.028,7.6107,,,,,,,,
6205,0.51,0.088,17.5005,,,,,,,,
9945,0.88,0.094,0.5794,,,,,,,,
9888,0.87,0.182,10.4218,,,,,,,,
9778,0.86,0.164,13.5264,,,,,,,,
10300,0.9,0.2,-7.2293,2.2993,-9.529,0.204,3.189,-0.432,-0.662,0.816,1.278
4576,0.35,0.062,11.0343,,,,,,,,
9961,0.88,0.126,3.397,,,,,,,,
