 ******************************************************************************
 * SHELL MODEL - DEFORMED WOODS-SAXON POTENTIAL:  NUCLEUS Z= 92 N=144 A=236   *
 * CENTRAL POTENTIAL-DEPTH VO = -45.9 DIFUSSENESS A=  0.630 RADIUS RO=   7.66 *
 * SPIN-ORBIT POTEN.-DEPTH VSO = 17.5 DIFUSSENESS A=  0.630 RADIUS RV=   7.66 *
 ******************************************************************************
 Eldm- Pashkevich 

 EPS= 0.000 a1= 0.000 a3=-0.200 a4=-0.160 a5= 0.000 a6= 0.000 Gn*A=22.5 Gz*A=26.5
 VAR:    T         F         T         F         F         F
 P(1)  P(2)   Barrier  Sh.Cor   Eldm   dU(N)   dU(P)   dP(N)   dP(P)   BC   BS
 0.040 -.020  14.8868  4.1990 10.688   1.896   2.858   0.101  -0.656 0.995  1.025
 0.040 -.010  14.8705  4.2431 10.627   1.914   2.883   0.101  -0.655 0.995  1.025
 0.040 0.000  14.8656  4.2584 10.607   1.921   2.891   0.101  -0.654 0.995  1.025
 0.040 0.010  14.8704  4.2431 10.627   1.914   2.883   0.101  -0.655 0.995  1.025
 0.040 0.020  14.8867  4.1990 10.688   1.896   2.858   0.101  -0.656 0.995  1.025
 0.040 0.030  14.9159  4.1275 10.788   1.869   2.818   0.101  -0.660 0.995  1.026
 0.040 0.040  14.9618  4.0326 10.929   1.836   2.767   0.097  -0.667 0.995  1.026
 0.040 0.050  15.0286  3.9188 11.110   1.801   2.708   0.089  -0.678 0.995  1.026
 0.040 0.060  15.1211  3.7908 11.330   1.769   2.645   0.074  -0.698 0.995  1.027
 0.040 0.070  15.2454  3.6554 11.590   1.747   2.510   0.050  -0.651 0.994  1.028
 0.040 0.080  15.4067  3.5167 11.890   1.740   2.285   0.013  -0.520 0.994  1.029
 0.040 0.090  15.6069  3.3795 12.227   1.753   2.052  -0.040  -0.385 0.994  1.030
 0.040 0.100  15.8484  3.2464 12.602   1.791   1.818  -0.112  -0.250 0.993  1.031
 0.040 0.110  16.1362  3.1197 13.016   1.858   1.585  -0.205  -0.117 0.993  1.032
 0.040 0.120  16.4652  2.9991 13.466   1.956   1.356  -0.323   0.011 0.993  1.034
 0.040 0.130  16.8394  2.8854 13.954   2.063   1.134  -0.443   0.132 0.992  1.035
 0.040 0.140  17.2543  2.7770 14.477   2.046   0.919  -0.434   0.245 0.992  1.037
 0.040 0.150  17.7078  2.6719 15.036   2.061   0.713  -0.452   0.350 0.991  1.038
 0.040 0.160  18.1982  2.5691 15.629   2.104   0.515  -0.495   0.446 0.991  1.040
 0.040 0.170  18.7222  2.4666 16.256   2.172   0.326  -0.564   0.532 0.990  1.042
 0.040 0.180  19.2799  2.3639 16.916   2.246   0.147  -0.639   0.610 0.990  1.044
 0.040 0.190  19.8691  2.2605 17.609   2.245  -0.021  -0.641   0.678 0.989  1.046
 0.040 0.200  20.4897  2.1568 18.333   2.265  -0.176  -0.669   0.736 0.988  1.049
 0.050 -.200  20.1869  1.9340 18.253   2.210  -0.288  -0.731   0.743 0.988  1.049
 0.050 -.190  19.5899  2.0557 17.534   2.183  -0.122  -0.686   0.681 0.989  1.046
 0.050 -.180  19.0298  2.1824 16.847   2.180   0.059  -0.666   0.609 0.990  1.044
 0.050 -.170  18.5043  2.3132 16.191   2.204   0.254  -0.672   0.527 0.990  1.042
 0.050 -.160  18.0188  2.4473 15.571   2.238   0.460  -0.688   0.438 0.991  1.040
 0.050 -.150  17.5688  2.5855 14.983   2.185   0.675  -0.616   0.341 0.991  1.039
 0.050 -.140  17.1573  2.7279 14.429   2.163   0.898  -0.571   0.238 0.992  1.037
 0.050 -.130  16.7861  2.8756 13.911   2.175   1.128  -0.556   0.128 0.992  1.035
 0.050 -.120  16.4554  3.0289 13.427   2.210   1.364  -0.557   0.013 0.993  1.034
